*YYYYMMDD,HHMMSS,JJJJJ.JJJJ,X,Y,Z,Sx,Sy,Sz,Rxy,Rxz,Ryz,NLat,Elong,Height,dN,dE,dU,Sn,Se,Su,Rne,Rnu,Reu,Soln
20010515,120000,52044.5,-2485778.32,-3284087.074,4853826.822,0.00323,0.00412,0.00477,0.841,-0.802,-0.841,49.87305323,232.8773352,164.69725,-0.03362,-0.0445,-0.02346,0.00198,0.00143,0.00664,0,-0.353,0.014,repro
20010516,120000,52045.5,-2485778.317,-3284087.071,4853826.817,0.00304,0.00397,0.0046,0.839,-0.794,-0.843,49.87305323,232.8773353,164.69118,-0.03341,-0.04392,-0.02953,0.00189,0.00137,0.00638,-0.004,-0.339,0.066,repro
20010517,120000,52046.5,-2485778.315,-3284087.069,4853826.816,0.00305,0.00396,0.0046,0.84,-0.799,-0.841,49.87305324,232.8773353,164.68848,-0.03245,-0.04317,-0.03223,0.00189,0.00136,0.00637,-0.016,-0.336,0.05,repro
20010518,120000,52047.5,-2485778.318,-3284087.073,4853826.819,0.00296,0.00376,0.00435,0.821,-0.792,-0.836,49.87305322,232.8773353,164.69372,-0.03372,-0.04275,-0.02698,0.00181,0.00139,0.00605,-0.001,-0.344,0.02,repro
20010519,120000,52048.5,-2485778.317,-3284087.074,4853826.818,0.00341,0.00438,0.00499,0.833,-0.789,-0.835,49.87305321,232.8773353,164.69296,-0.03502,-0.04206,-0.02775,0.00214,0.00155,0.00698,0.001,-0.363,0.039,repro
20010520,120000,52049.5,-2485778.316,-3284087.072,4853826.817,0.00315,0.00407,0.00467,0.824,-0.793,-0.835,49.87305322,232.8773353,164.69175,-0.03379,-0.04217,-0.02896,0.00196,0.00147,0.0065,-0.025,-0.35,0.045,repro
20010521,120000,52050.5,-2485778.318,-3284087.075,4853826.821,0.00317,0.00411,0.00469,0.84,-0.808,-0.849,49.87305322,232.8773353,164.69689,-0.03383,-0.04181,-0.02381,0.00192,0.00141,0.00657,-0.018,-0.374,0.046,repro
20010522,120000,52051.5,-2485778.318,-3284087.074,4853826.819,0.00323,0.00411,0.00478,0.824,-0.803,-0.851,49.87305322,232.8773353,164.69427,-0.03455,-0.04306,-0.02643,0.0019,0.0015,0.00665,0.011,-0.354,0.024,repro
20010523,120000,52052.5,-2485778.314,-3284087.069,4853826.813,0.00331,0.00424,0.00492,0.837,-0.8,-0.844,49.87305322,232.8773353,164.68623,-0.03377,-0.04236,-0.03447,0.00201,0.00149,0.00685,0.005,-0.348,0.026,repro
20010524,120000,52053.5,-2485778.318,-3284087.074,4853826.819,0.0035,0.00449,0.00519,0.835,-0.799,-0.842,49.87305321,232.8773353,164.69463,-0.03494,-0.04266,-0.02608,0.00214,0.00158,0.00723,-0.003,-0.351,0.033,repro
